ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
70551;Liu Changchun;M;22;NA;NA;China;CHN;1932 Summer;1932;Summer;Los Angeles;Athletics;Athletics Men's 100 metres;NA
70551;Liu Changchun;M;22;NA;NA;China;CHN;1932 Summer;1932;Summer;Los Angeles;Athletics;Athletics Men's 200 metres;NA
54765;Jia Lianren;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 1,500 metres;NA
20228;Chen Kingkwan;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 100 metres;NA
70551;Liu Changchun;M;26;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 100 metres;NA
95672;Poh Kimseng;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 100 metres;NA
50667;Huang Yingjie;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 110 metres Hurdles;NA
69993;Lin Shaozhou;M;27;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 110 metres Hurdles;NA
20228;Chen Kingkwan;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 200 metres;NA
70551;Liu Changchun;M;26;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 200 metres;NA
95672;Poh Kimseng;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 200 metres;NA
20228;Chen Kingkwan;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 4 x 100 metres Relay;NA
50667;Huang Yingjie;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 4 x 100 metres Relay;NA
70551;Liu Changchun;M;26;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 4 x 100 metres Relay;NA
95672;Poh Kimseng;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 4 x 100 metres Relay;NA
118830;"L. ""Leonard"" Tay";M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 400 metres;NA
17290;Cai Tsungyi;M;22;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 50 kilometres Walk;NA
19746;Chang Chanchiu;M;22;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 50 kilometres Walk;NA
19816;Chao Yuyen;M;25;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's 50 kilometres Walk;NA
19780;Chang Singchow;M;20;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Decathlon;NA
43964;Guo Jie;M;24;181;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Discus Throw;NA
70305;Ling Peigeng;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Discus Throw;NA
131765;Wu Bixian;M;22;178;68;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's High Jump;NA
49248;Hoh Chunde;M;27;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Javelin Throw;NA
20618;Chia Gwechang;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Long Jump;NA
49248;Hoh Chunde;M;27;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Long Jump;NA
111457;Situ Guong;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Long Jump;NA
128650;Wang Zhenglin;M;23;166;57;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Marathon;NA
37393;Fu Baolu;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Pole Vault;NA
20154;Chen Baoqiu;M;25;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Shot Put;NA
20618;Chia Gwechang;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Triple Jump;NA
111457;Situ Guong;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Triple Jump;NA
128560;Wang Shilin;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Men's Triple Jump;NA
69480;Li Sen;F;22;168;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Athletics;Athletics Women's 100 metres;NA
34615;Feng Niehhwa;M;22;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
50529;Hsu Chaohsung;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
69485;Li Shaotang;M;22;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
70547;Liu Baocheng;M;19;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
70698;Liu Yunchang;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
82554;Mou Tsyun;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
109555;Shen Yikung;M;18;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
122189;Tsai Yenhung;M;20;183;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
128472;Wang Hungpin;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
128557;Wang Shihsuan;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
128641;Wang Yutseng;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
131439;Wong Nanchen;M;20;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
133295;Yu Chinghsiao;M;24;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
128640;Wang Yunlan;M;23;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Boxing;Boxing Men's Light-Heavyweight;NA
20779;Chin Kuaiti;M;21;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Boxing;Boxing Men's Middleweight;NA
130974;Howard Wing;M;20;NA;NA;China;CHN;1936 Summer;1936;Summer;Berlin;Cycling;Cycling Men's Sprint;NA
7596;Bao Jiaping;M;27;177;55;China;CHN;1936 Summer;1936;Summer;Berlin;Football;Football Men's Football;NA
17992;Cao Guicheng;M;25;160;61;China;CHN;1936 Summer;1936;Summer;Berlin;Football;Football Men's Football;NA
